Internal ID,BasePrice,Brand,Colorway,Internalid,ItemName,MSRP,ParentStyle,SKU,Season,Size,Status,UPC,Width,Year,image
19520,120.5,Twisted X,Black/Black,19520,WRR0004 : WRR0004-C-08.5,229.95 ,WRR0004,WRR0004-C-08.5,Spring,08.5,Inactive,884882169334,C,2015,https://system.netsuite.com/core/media/media.nl?id=5766&c=4138030&h=5uNrwu46HnwmqObL8QkXRc7DzM6LvusCbq6BRKBq0DgUU9Jd
19521,120.5,Twisted X,Black/Black,19521,WRR0004 : WRR0004-C-09,229.95 ,WRR0004,WRR0004-C-09,Spring,09,Inactive,884882169341,C,2015,https://system.netsuite.com/core/media/media.nl?id=5766&c=4138030&h=5uNrwu46HnwmqObL8QkXRc7DzM6LvusCbq6BRKBq0DgUU9Jd
19522,120.5,Twisted X,Black/Black,19522,WRR0004 : WRR0004-C-09.5,229.95 ,WRR0004,WRR0004-C-09.5,Spring,09.5,Inactive,884882169358,C,2015,https://system.netsuite.com/core/media/media.nl?id=5766&c=4138030&h=5uNrwu46HnwmqObL8QkXRc7DzM6LvusCbq6BRKBq0DgUU9Jd
19523,120.5,Twisted X,Black/Black,19523,WRR0004 : WRR0004-C-10,229.95 ,WRR0004,WRR0004-C-10,Spring,10,Inactive,884882169365,C,2015,https://system.netsuite.com/core/media/media.nl?id=5766&c=4138030&h=5uNrwu46HnwmqObL8QkXRc7DzM6LvusCbq6BRKBq0DgUU9Jd
19524,120.5,Twisted X,Black/Black,19524,WRR0004 : WRR0004-C-11,229.95 ,WRR0004,WRR0004-C-11,Spring,11,Inactive,884882169372,C,2015,https://system.netsuite.com/core/media/media.nl?id=5766&c=4138030&h=5uNrwu46HnwmqObL8QkXRc7DzM6LvusCbq6BRKBq0DgUU9Jd
19526,75,Twisted X,Marble/Green,19526,WRS0001 : WRS0001-A-07.5,144.95 ,WRS0001,WRS0001-A-07.5,Spring,07.5,Inactive,884882027238,A,2006,https://system.netsuite.com/core/media/media.nl?id=4144&c=4138030&h=HHr6iKVBwgWVL3KmITV0E4MrX4_7f9PP9PbTYcGkO8vQke1Y
19527,75,Twisted X,Marble/Green,19527,WRS0001 : WRS0001-A-08,144.95 ,WRS0001,WRS0001-A-08,Spring,08,Inactive,884882027245,A,2006,https://system.netsuite.com/core/media/media.nl?id=4144&c=4138030&h=HHr6iKVBwgWVL3KmITV0E4MrX4_7f9PP9PbTYcGkO8vQke1Y
19528,75,Twisted X,Marble/Green,19528,WRS0001 : WRS0001-A-08.5,144.95 ,WRS0001,WRS0001-A-08.5,Spring,08.5,Inactive,884882027252,A,2006,https://system.netsuite.com/core/media/media.nl?id=4144&c=4138030&h=HHr6iKVBwgWVL3KmITV0E4MrX4_7f9PP9PbTYcGkO8vQke1Y
19529,75,Twisted X,Marble/Green,19529,WRS0001 : WRS0001-A-09,144.95 ,WRS0001,WRS0001-A-09,Spring,09,Inactive,884882027269,A,2006,https://system.netsuite.com/core/media/media.nl?id=4144&c=4138030&h=HHr6iKVBwgWVL3KmITV0E4MrX4_7f9PP9PbTYcGkO8vQke1Y
19530,75,Twisted X,Marble/Green,19530,WRS0001 : WRS0001-A-09.5,144.95 ,WRS0001,WRS0001-A-09.5,Spring,09.5,Inactive,884882027276,A,2006,https://system.netsuite.com/core/media/media.nl?id=4144&c=4138030&h=HHr6iKVBwgWVL3KmITV0E4MrX4_7f9PP9PbTYcGkO8vQke1Y
